id,bang_1,bang_2,bang_3,bang_4,bang_5,bang_6,bang_7,bang_8,bang_9,bang_10,bang_11,bang_12,bang_13,bang_14,bang_15,bang_16,bang_17,bang_18
245,5,4,5,4,6,5,6,5,5,4,6,5,5,5,6,5,3,5
246,6,6,5,6,4,5,6,5,5,5,4,3,6,5,6,4,6,6
247,7,4,6,7,7,7,7,6,5,7,6,7,5,6,7,6,6,6
248,4,4,3,4,4,1,4,4,3,1,4,4,3,4,1,3,2,4
249,5,6,6,2,3,4,5,6,5,2,4,4,7,6,4,3,1,3
250,5,7,6,7,6,6,5,6,6,4,6,6,5,4,5,7,4,6
251,6,5,4,2,2,4,6,4,6,6,3,3,3,4,3,5,3,5
252,5,6,5,4,5,3,5,5,6,5,5,7,4,3,6,2,1,2
253,5,5,6,3,2,1,6,6,7,2,2,1,4,4,4,1,2,4
254,5,5,5,6,1,6,4,4,6,5,4,5,5,6,2,1,1,1
255,6,6,6,1,1,2,7,6,6,2,2,2,1,2,2,1,2,2
256,5,6,5,1,3,3,5,5,5,1,1,1,1,1,3,1,1,1
257,6,7,7,1,1,1,7,7,7,1,1,1,7,6,4,2,2,4
258,7,5,6,1,4,1,6,7,5,1,2,1,1,1,1,1,1,1
259,6,7,6,4,2,4,5,5,6,3,3,1,5,3,4,1,2,1
260,4,5,5,4,6,6,5,4,4,1,1,1,1,1,1,1,1,1
261,5,5,5,5,2,5,6,4,5,2,3,4,2,1,2,5,5,5
262,6,6,6,4,5,6,6,6,6,7,5,6,5,6,6,5,3,3
263,1,1,1,6,7,7,1,1,1,7,6,7,1,1,1,7,7,7
264,3,5,4,5,3,6,7,7,7,2,4,1,7,7,7,1,1,3
265,7,6,6,5,4,2,7,7,7,2,2,1,5,5,4,5,3,2
266,5,5,7,5,2,5,6,6,6,3,2,3,4,6,3,5,3,5
267,7,7,7,5,2,1,7,7,7,1,7,1,1,6,4,1,1,1
268,7,7,6,5,3,5,3,3,3,5,5,5,1,1,1,1,2,4
269,3,5,6,6,1,5,6,5,7,6,5,4,4,5,2,4,3,2
270,5,7,5,1,4,5,5,6,4,2,5,3,5,1,3,1,2,5
271,6,7,5,1,2,1,4,6,5,5,6,4,1,1,1,1,1,1
272,5,7,7,1,1,1,6,7,7,1,1,1,6,6,2,1,1,1
273,5,6,6,1,2,3,6,6,6,3,3,4,6,6,6,5,4,3
274,5,6,7,5,1,1,7,7,7,2,3,2,7,3,1,6,4,2
275,6,5,6,3,4,5,6,6,6,1,2,1,4,5,3,2,1,1
276,2,7,4,4,4,4,4,4,4,4,4,4,4,4,7,2,2,4
277,6,7,6,2,1,3,7,7,7,6,1,2,5,5,4,5,1,3
278,6,7,6,1,3,1,6,6,7,1,1,1,4,5,4,1,2,1
279,6,7,7,2,2,2,6,6,7,5,3,5,4,5,3,2,2,4
280,6,5,5,5,1,5,4,4,1,5,5,7,1,1,1,1,2,1
