Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Video games,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
643ea9c7611f0da3b7e12a15,5ee1320707199750393f8f8b,APPROVED,2023-04-18T14:31:35.883000Z,2023-04-18T14:42:12.778000Z,2023-04-18T15:57:05.400000,2023-04-18T14:42:13.204500Z,637,C1I6GZK1,133,13 hours or more,21,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
643ea9c8f98db49b3e3de62c,60733d6690d0d13013e9f40a,APPROVED,2023-04-18T14:31:36.878000Z,2023-04-18T14:40:53.992000Z,2023-04-18T15:57:05.519000,2023-04-18T14:40:54.471822Z,558,C1I6GZK1,334,13 hours or more,24,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Other
643ea9cd6bfa01b3fc4cf833,5f75038af210b8164310d49d,APPROVED,2023-04-18T14:31:41.960000Z,2023-04-18T14:47:18.726000Z,2023-04-18T15:57:05.642000,2023-04-18T14:47:19.126928Z,937,C1I6GZK1,42,13 hours or more,32,Male,White,Chile,Chile,Chile,Spanish,No,Part-Time
643ea9cd87da17b574d70cb9,61038917dbab6d0d7f203eef,APPROVED,2023-04-18T14:31:41.343000Z,2023-04-18T14:42:38.120000Z,2023-04-18T15:57:16.692000,2023-04-18T14:42:38.512564Z,657,C1I6GZK1,108,10-12 hours,25,Female,Asian,Mexico,Mexico,Mexico,Spanish,No,Full-Time
643ea9cfd2fca7b108da03be,602c11c29029ff46f065703d,APPROVED,2023-04-18T14:31:47.904000Z,2023-04-18T14:37:36.654000Z,2023-04-18T15:57:05.766000,2023-04-18T14:37:37.045448Z,349,C1I6GZK1,265,10-12 hours,23,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
643ea9d1b1c897922cfa6e55,5f0e4bf8c7f97e18fb4473a7,APPROVED,2023-04-18T14:31:45.115000Z,2023-04-18T14:44:35.468000Z,2023-04-18T15:57:05.900000,2023-04-18T14:44:35.896283Z,771,C1I6GZK1,239,3-6 hours,27,Male,White,Italy,Italy,Italy,Italian,DATA_EXPIRED,DATA_EXPIRED
643ea9d21e467e573420e934,5c9148901bc01a0001149f86,APPROVED,2023-04-18T14:31:46.051000Z,2023-04-18T14:36:04.183000Z,2023-04-18T15:57:16.834000,2023-04-18T14:36:04.695144Z,259,C1I6GZK1,446,6-9 hours,32,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Other
643ea9d8c43902bfa74d002e,60fee872f34ba132f857fc66,APPROVED,2023-04-18T14:31:52.427000Z,2023-04-18T14:39:23.484000Z,2023-04-18T15:57:16.956000,2023-04-18T14:39:25.801552Z,452,C1I6GZK1,83,0-3 hours,25,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
643ea9db85846497afbb4f00,5e1a5871fb00b62d79e4de6e,APPROVED,2023-04-18T14:31:55.415000Z,2023-04-18T14:36:03.881000Z,2023-04-18T15:57:06.021000,2023-04-18T14:36:04.570557Z,249,C1I6GZK1,327,13 hours or more,21,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
643ea9dbd807b7d3c8797fba,5f4357fe16548e595f470904,APPROVED,2023-04-18T14:31:57.996000Z,2023-04-18T14:43:37.383000Z,2023-04-18T15:57:17.071000,2023-04-18T14:43:37.915503Z,700,C1I6GZK1,305,3-6 hours,33,Female,Asian,Philippines,Canada,Philippines,Tagalog-Filipino,No,Other
643ea9deb2fa7585ee17832d,60c3c2a85ba1dc89cb490f41,APPROVED,2023-04-18T14:31:58.059000Z,2023-04-18T14:41:27.153000Z,2023-04-18T15:57:06.142000,2023-04-18T14:41:27.858132Z,570,C1I6GZK1,139,13 hours or more,24,Male,White,Italy,Italy,Italy,Italian,No,Full-Time
643ea9e712fafd79ef1ecb9d,63d284f85392896193d9c8ef,APPROVED,2023-04-18T14:32:09.514000Z,2023-04-18T14:42:00.857000Z,2023-04-18T15:57:06.270000,2023-04-18T14:42:01.477763Z,592,C1I6GZK1,10,10-12 hours,29,Male,White,United Kingdom,Germany,United Kingdom,English,No,Full-Time
